"LFQ.intensity.H1","LFQ.intensity.H2","LFQ.intensity.H3","LFQ.intensity.L1","LFQ.intensity.L2","LFQ.intensity.L3","Fasta.headers","Reverse","Only.identified.by.site","Protein.IDs","Gene.names"
21648000,18417000,26589000,41034000,42823000,39011000,">sp|Q9Y2X0-5|MED16_HUMAN Isoform 5 of Mediator of RNA polymerase II transcription subunit 16 OS=Homo sapiens GN=MED16;>tr|E7ETV0|E7ETV0_HUMAN Mediator of RNA polymerase II transcription subunit 16 OS=Homo sapiens GN=MED16 PE=4 SV=1;>sp|Q9Y2X0-4|MED16_HUMAN","","","Q9Y2X0-5;E7ETV0;Q9Y2X0-4;Q9Y2X0-2;Q9Y2X0-3;Q9Y2X0;B9TWZ6;F5H5L7;B9TX01;F5H0Q2;F5H087","MED16"
691710,1537000,0,0,0,0,">sp|Q3MHD2|LSM12_HUMAN Protein LSM12 homolog OS=Homo sapiens GN=LSM12 PE=1 SV=2;>sp|Q3MHD2-2|LSM12_HUMAN Isoform 2 of Protein LSM12 homolog OS=Homo sapiens GN=LSM12","","","Q3MHD2;Q3MHD2-2","LSM12"
18437000,13624000,8079200,7970400,8286600,16893000,">tr|F5H625|F5H625_HUMAN Probable ATP-dependent RNA helicase DHX40 OS=Homo sapiens GN=DHX40 PE=4 SV=1;>sp|Q8IX18-3|DHX40_HUMAN Isoform 3 of Probable ATP-dependent RNA helicase DHX40 OS=Homo sapiens GN=DHX40;>tr|C9JR60|C9JR60_HUMAN Probable ATP-dependent RNA","","","F5H625;Q8IX18-3;C9JR60;C9JEW8;Q8IX18-2;Q8IX18","DHX40"
61360000,61115000,39692000,58952000,62975000,61730000,">sp|Q92766|RREB1_HUMAN Ras-responsive element-binding protein 1 OS=Homo sapiens GN=RREB1 PE=1 SV=3;>sp|Q92766-2|RREB1_HUMAN Isoform 2 of Ras-responsive element-binding protein 1 OS=Homo sapiens GN=RREB1;>sp|Q92766-3|RREB1_HUMAN Isoform 3 of Ras-responsive","","","Q92766;Q92766-2;Q92766-3;C9JU34;Q92766-4","RREB1"
330320000,452720000,313010000,379290000,185860000,100390000,">sp|P0A742|MSCL_ECOLI Large-conductance mechanosensitive channel OS=Escherichia coli (strain K12) GN=mscL PE=1 SV=1","","","P0A742","mscL"
19594000,19428000,22325000,32211000,22176000,12822000,">tr|H0YGA0|H0YGA0_HUMAN Fatty acid desaturase 1 OS=Homo sapiens GN=FADS1 PE=4 SV=1","","","H0YGA0;F5H2V5;E9PS00;Q9Y5Q0","FADS1"
13532000,4348700,0,0,4979700,1795400,">sp|P0ACL2|EXUR_ECOLI Exu regulon transcriptional regulator OS=Escherichia coli (strain K12) GN=exuR PE=4 SV=1","","","P0ACL2","exuR"
3209800000,2966700000,2758800000,1494500000,1467600000,1451200000,">sp|P0A8L1|SYS_ECOLI Serine--tRNA ligase OS=Escherichia coli (strain K12) GN=serS PE=1 SV=1","","","P0A8L1","serS"
231700000,220540000,231180000,305210000,336230000,374690000,">sp|O75691|UTP20_HUMAN Small subunit processome component 20 homolog OS=Homo sapiens GN=UTP20 PE=1 SV=3","","","O75691","UTP20"
38614000,24160000,51822000,47216000,53858000,42796000,">sp|O15498|YKT6_HUMAN Synaptobrevin homolog YKT6 OS=Homo sapiens GN=YKT6 PE=1 SV=1;>tr|B4DR94|B4DR94_HUMAN Synaptobrevin homolog YKT6 OS=Homo sapiens GN=YKT6 PE=2 SV=1","","","O15498;B4DR94","YKT6"
68912000,55233000,76791000,28634000,26968000,27406000,">sp|P08192|FOLC_ECOLI Bifunctional protein folC OS=Escherichia coli (strain K12) GN=folC PE=1 SV=2","","","P08192","folC"
298480000,269380000,294290000,501970000,456800000,403820000,">tr|B4DZM8|B4DZM8_HUMAN 26S proteasome non-ATPase regulatory subunit 5 OS=Homo sapiens GN=PSMD5 PE=2 SV=1;>sp|Q16401|PSMD5_HUMAN 26S proteasome non-ATPase regulatory subunit 5 OS=Homo sapiens GN=PSMD5 PE=1 SV=3","","","B4DZM8;Q16401;F2Z3J2;Q4VXH0","PSMD5"
17989000,13489000,15459000,22634000,26819000,22717000,">tr|E9PEE4|E9PEE4_HUMAN Methyl-CpG-binding domain protein 4 OS=Homo sapiens GN=MBD4 PE=4 SV=1;>sp|O95243-2|MBD4_HUMAN Isoform 2 of Methyl-CpG-binding domain protein 4 OS=Homo sapiens GN=MBD4;>sp|O95243|MBD4_HUMAN Methyl-CpG-binding domain protein 4 OS=Homo","","","E9PEE4;O95243-2;O95243;O95243-3;Q2MD36;D6RBI7","MBD4"
20625000,24593000,19877000,23516000,26203000,23414000,">sp|Q9UI12-2|VATH_HUMAN Isoform 2 of V-type proton ATPase subunit H OS=Homo sapiens GN=ATP6V1H;>sp|Q9UI12|VATH_HUMAN V-type proton ATPase subunit H OS=Homo sapiens GN=ATP6V1H PE=1 SV=1;>tr|G3V126|G3V126_HUMAN ATPase, H+ transporting, lysosomal 50/57kDa, V1","","","Q9UI12-2;Q9UI12;G3V126;H0YB41;E5RK31;E5RJG1;E5RG49;E5RHH0;E5RFZ9","ATP6V1H"
946080,897780,0,0,0,0,">tr|H0YLQ3|H0YLQ3_HUMAN Ankyrin repeat domain-containing protein 17 (Fragment) OS=Homo sapiens GN=ANKRD17 PE=4 SV=1;>tr|G5E964|G5E964_HUMAN Ankyrin repeat domain 17, isoform CRA_b OS=Homo sapiens GN=ANKRD17 PE=4 SV=1;>tr|H0YM23|H0YM23_HUMAN Ankyrin repeat","","","H0YLQ3;G5E964;H0YM23;E7EUV3;O75179-2;O75179","ANKRD17"
0,0,0,0,0,3191800,">tr|B4E2P0|B4E2P0_HUMAN Mediator of RNA polymerase II transcription subunit 6 OS=Homo sapiens GN=MED6 PE=2 SV=1;>sp|O75586|MED6_HUMAN Mediator of RNA polymerase II transcription subunit 6 OS=Homo sapiens GN=MED6 PE=1 SV=2;>tr|G3V4A5|G3V4A5_HUMAN Mediator o","","","B4E2P0;O75586;G3V4A5;B4DU17","MED6"
12298000,8945200,3849000,2676700,2742300,2236200,">sp|P76215|ASTE_ECOLI Succinylglutamate desuccinylase OS=Escherichia coli (strain K12) GN=astE PE=1 SV=1","","","P76215","astE"
0,0,0,0,0,4265300,">sp|Q8WVC6-2|DCAKD_HUMAN Isoform 2 of Dephospho-CoA kinase domain-containing protein OS=Homo sapiens GN=DCAKD;>sp|Q8WVC6|DCAKD_HUMAN Dephospho-CoA kinase domain-containing protein OS=Homo sapiens GN=DCAKD PE=1 SV=1","","","Q8WVC6-2;Q8WVC6","DCAKD"
0,0,0,2634200,0,0,">sp|P20936-2|RASA1_HUMAN Isoform 2 of Ras GTPase-activating protein 1 OS=Homo sapiens GN=RASA1;>tr|B4DTL2|B4DTL2_HUMAN Ras GTPase-activating protein 1 OS=Homo sapiens GN=RASA1 PE=2 SV=1;>tr|E9PGC0|E9PGC0_HUMAN Ras GTPase-activating protein 1 OS=Homo sapien","","","P20936-2;B4DTL2;E9PGC0;P20936;H0YD89","RASA1"
82644000,85811000,78502000,112690000,104250000,124220000,">tr|B4DIZ2|B4DIZ2_HUMAN Ubiquitin-conjugating enzyme E2 K OS=Homo sapiens GN=UBE2K PE=2 SV=1;>sp|P61086|UBE2K_HUMAN Ubiquitin-conjugating enzyme E2 K OS=Homo sapiens GN=UBE2K PE=1 SV=3;>tr|D6RDM7|D6RDM7_HUMAN Ubiquitin-conjugating enzyme E2 K (Fragment) OS","","","B4DIZ2;P61086;D6RDM7;P61086-2;C9JGP1","UBE2K"
20419000,18206000,0,0,0,0,">tr|E9PPY4|E9PPY4_HUMAN G patch domain-containing protein 4 OS=Homo sapiens GN=GPATCH4 PE=4 SV=1;>tr|F2Z3C6|F2Z3C6_HUMAN G patch domain-containing protein 4 OS=Homo sapiens GN=GPATCH4 PE=4 SV=1;>tr|F8W895|F8W895_HUMAN G patch domain-containing protein 4 (F","","","E9PPY4;F2Z3C6;F8W895;E9PAV9;Q5T3I0;Q5T3I0-3;Q5T3I0-2","GPATCH4"
4.0264e+10,3.6412e+10,4.1354e+10,6.5544e+10,5.9606e+10,5.4604e+10,">sp|P04406|G3P_HUMAN Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens GN=GAPDH PE=1 SV=3","","","P04406;E7EU54","GAPDH"
616120000,598510000,507840000,532330000,728940000,524130000,">sp|P31949|S10AB_HUMAN Protein S100-A11 OS=Homo sapiens GN=S100A11 PE=1 SV=2","","","P31949","S100A11"
3268900,3021000,1870500,646510,1384600,998520,">sp|P27300|LPXK_ECOLI Tetraacyldisaccharide 4-kinase OS=Escherichia coli (strain K12) GN=lpxK PE=1 SV=2","","","P27300","lpxK"
46174000,50994000,50621000,80219000,61116000,61116000,">sp|Q99575|POP1_HUMAN Ribonucleases P/MRP protein subunit POP1 OS=Homo sapiens GN=POP1 PE=1 SV=2","","","Q99575;E5RK39","POP1"
8527500,11469000,5647700,11253000,13114000,9275000,">sp|O60343-2|TBCD4_HUMAN Isoform 2 of TBC1 domain family member 4 OS=Homo sapiens GN=TBC1D4;>sp|O60343-3|TBCD4_HUMAN Isoform 3 of TBC1 domain family member 4 OS=Homo sapiens GN=TBC1D4;>sp|O60343|TBCD4_HUMAN TBC1 domain family member 4 OS=Homo sapiens GN=TB","","","O60343-2;O60343-3;O60343;O60343-4;O60343-5;Q5JU47;C9JIE2;E9PGH8;Q86TI0","TBC1D4"
7137700,10861000,3781200,1884100,4026400,2809800,">sp|P76049|YCJY_ECOLI Uncharacterized protein ycjY OS=Escherichia coli (strain K12) GN=ycjY PE=4 SV=2","","","P76049","ycjY"
12853000,6948400,12075000,16750000,18451000,21798000,">sp|Q8N6M0|OTU6B_HUMAN OTU domain-containing protein 6B OS=Homo sapiens GN=OTUD6B PE=1 SV=1","","","Q8N6M0;H0YB21","OTUD6B"
0,0,0,0,0,1242100,">tr|E7ES89|E7ES89_HUMAN DNA topoisomerase I, mitochondrial OS=Homo sapiens GN=TOP1MT PE=4 SV=1;>sp|Q969P6|TOP1M_HUMAN DNA topoisomerase I, mitochondrial OS=Homo sapiens GN=TOP1MT PE=2 SV=1;>tr|E5RIC7|E5RIC7_HUMAN DNA topoisomerase I, mitochondrial OS=Homo","","+","E7ES89;Q969P6;E5RIC7;E5RJ95;E5RFS0;E5RJ33;H0YBR3;H0YAR3;H0YC03;E5RGE7;E5RGR4;E5RFE3;E5RGR2","TOP1MT"
83930000,88550000,70179000,128090000,160950000,111240000,">sp|Q9NVI7-2|ATD3A_HUMAN Isoform 2 of ATPase family AAA domain-containing protein 3A OS=Homo sapiens GN=ATAD3A;>sp|Q9NVI7|ATD3A_HUMAN ATPase family AAA domain-containing protein 3A OS=Homo sapiens GN=ATAD3A PE=1 SV=2;>tr|G3V1I6|G3V1I6_HUMAN ATPase family A","","","Q9NVI7-2;Q9NVI7;G3V1I6;H0Y2W2;Q5T9A4;Q5T9A4-3;A8MSP6;A6NMA2;Q5SV16;E9PDY1;Q5T2N8;Q5SV15;Q5T9A4-2;Q5T9A2;A6NFL3","ATAD3A;ATAD3B"
14555000,10066000,9864300,6360600,5209200,7023800,">sp|P76539|YPEA_ECOLI Acetyltransferase YpeA OS=Escherichia coli (strain K12) GN=ypeA PE=3 SV=2","","","P76539","ypeA"
0,0,0,0,0,14284000,">sp|Q9NYA4|MTMR4_HUMAN Myotubularin-related protein 4 OS=Homo sapiens GN=MTMR4 PE=2 SV=2","","+","Q9NYA4","MTMR4"
20529000,36656000,26452000,33512000,35461000,29217000,">sp|Q15014|MO4L2_HUMAN Mortality factor 4-like protein 2 OS=Homo sapiens GN=MORF4L2 PE=1 SV=1;>tr|Q5JXX4|Q5JXX4_HUMAN Mortality factor 4 like 2 OS=Homo sapiens GN=MORF4L2 PE=2 SV=1","","","Q15014;Q5JXX4;Q5JXX1;Q5JXX2;Q5JXX3;Q5JXX6","MORF4L2"
2930800,2339200,0,0,2966100,2963000,">tr|B7Z371|B7Z371_HUMAN Septin-10 OS=Homo sapiens GN=SEPT10 PE=2 SV=1;>sp|Q9P0V9-3|SEP10_HUMAN Isoform 3 of Septin-10 OS=Homo sapiens GN=SEPT10;>tr|E7EW69|E7EW69_HUMAN Septin-10 OS=Homo sapiens GN=SEPT10 PE=3 SV=1;>sp|Q9P0V9|SEP10_HUMAN Septin-10 OS=Homo s","","","B7Z371;Q9P0V9-3;E7EW69;Q9P0V9;E7EX04;Q9P0V9-2;B5ME97;B7Z277;E9PBL4","SEPT10"
11590000,17006000,10459000,5439900,5689700,4381600,">sp|P75782|RLMF_ECOLI Ribosomal RNA large subunit methyltransferase F OS=Escherichia coli (strain K12) GN=rlmF PE=1 SV=2","","","P75782","rlmF"
3309100,3389700,3085600,3139900,4363400,3431000,">sp|Q9NQ29-2|LUC7L_HUMAN Isoform 2 of Putative RNA-binding protein Luc7-like 1 OS=Homo sapiens GN=LUC7L;>sp|Q9NQ29|LUC7L_HUMAN Putative RNA-binding protein Luc7-like 1 OS=Homo sapiens GN=LUC7L PE=1 SV=1;>tr|B8ZZ10|B8ZZ10_HUMAN LUC7-like (S. cerevisiae) (Fr","","","Q9NQ29-2;Q9NQ29;B8ZZ10;A8MYV2;Q9NQ29-3;F8WBC1;F2Z322","LUC7L"
0,3184100,0,0,0,0,">sp|Q9BZ29-3|DOCK9_HUMAN Isoform 3 of Dedicator of cytokinesis protein 9 OS=Homo sapiens GN=DOCK9;>sp|Q9BZ29-5|DOCK9_HUMAN Isoform 2 of Dedicator of cytokinesis protein 9 OS=Homo sapiens GN=DOCK9;>sp|Q9BZ29|DOCK9_HUMAN Dedicator of cytokinesis protein 9 OS","","","Q9BZ29-3;Q9BZ29-5;Q9BZ29;A8MWZ5;Q9BZ29-4;E9PCD6;D3YTH2;F5GZE8;Q6ZSL5;REV__I3L4A2;Q5JUD3;H7BZ79;Q5JUD8;H0Y3S1;F5H1Q4;E9PFM9","DOCK9"
89292000,165780000,159460000,169530000,153650000,186030000,">tr|E9PF56|E9PF56_HUMAN Ankyrin repeat and KH domain-containing protein 1 OS=Homo sapiens GN=ANKHD1 PE=4 SV=2;>sp|Q8IWZ3|ANKH1_HUMAN Ankyrin repeat and KH domain-containing protein 1 OS=Homo sapiens GN=ANKHD1 PE=1 SV=1;>sp|Q8IWZ3-4|ANKH1_HUMAN Isoform 4 of","","","E9PF56;Q8IWZ3;Q8IWZ3-4;Q8IWZ2;Q8TEF1;E9PDP5;H7C2F5;H7BXD7;H3BLS9;E7ETA2;D6RHC4;Q8IWZ3-5;Q8IWZ3-3;Q8IWZ3-2;F5GZ24;F6WFL0;H0Y7Y3;H0Y785;H0Y472;H0Y4P6","ANKHD1;ANKHD1-EIF4EBP3;FLJ00246"
1073300,0,0,0,0,0,">tr|F8WDR2|F8WDR2_HUMAN Potential tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRMT61B OS=Homo sapiens GN=TRMT61B PE=4 SV=1;>sp|Q9BVS5|TR61B_HUMAN Potential tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRMT61B OS=Homo sapiens","","","F8WDR2;Q9BVS5","TRMT61B"
1578200,908190,0,2085700,3152800,2574700,">sp|Q9P0L2-3|MARK1_HUMAN Isoform 3 of Serine/threonine-protein kinase MARK1 OS=Homo sapiens GN=MARK1;>sp|Q9P0L2|MARK1_HUMAN Serine/threonine-protein kinase MARK1 OS=Homo sapiens GN=MARK1 PE=1 SV=2;>sp|Q9P0L2-2|MARK1_HUMAN Isoform 2 of Serine/threonine-prot","","","Q9P0L2-3;Q9P0L2;Q9P0L2-2","MARK1"
157460000,149030000,143460000,118060000,148080000,173960000,">sp|P29373|RABP2_HUMAN Cellular retinoic acid-binding protein 2 OS=Homo sapiens GN=CRABP2 PE=1 SV=2;>tr|Q5SYZ4|Q5SYZ4_HUMAN Cellular retinoic acid binding protein 2 (Fragment) OS=Homo sapiens GN=CRABP2 PE=2 SV=1","","","P29373;Q5SYZ4","CRABP2"
17849000,25343000,16607000,30787000,26485000,28551000,">sp|Q9GZR2|REXO4_HUMAN RNA exonuclease 4 OS=Homo sapiens GN=REXO4 PE=1 SV=2","","","Q9GZR2;Q9GZR2-2","REXO4"
0,0,0,0,0,4542300,">sp|Q9Y4G6|TLN2_HUMAN Talin-2 OS=Homo sapiens GN=TLN2 PE=1 SV=4;>tr|H0YMT1|H0YMT1_HUMAN Talin-2 (Fragment) OS=Homo sapiens GN=TLN2 PE=4 SV=1","","","Q9Y4G6;H0YMT1","TLN2"
1955000,2395100,2802900,7233500,911050,6805100,">sp|Q96CB8|INT12_HUMAN Integrator complex subunit 12 OS=Homo sapiens GN=INTS12 PE=1 SV=1","","","Q96CB8","INTS12"
3567800000,4044100000,3878300000,5533600000,5476900000,5513800000,">sp|P55060-3|XPO2_HUMAN Isoform 3 of Exportin-2 OS=Homo sapiens GN=CSE1L;>sp|P55060|XPO2_HUMAN Exportin-2 OS=Homo sapiens GN=CSE1L PE=1 SV=3;>tr|F8W904|F8W904_HUMAN Exportin-2 OS=Homo sapiens GN=CSE1L PE=4 SV=1;>tr|B4DUC5|B4DUC5_HUMAN Exportin-2 OS=Homo sa","","","P55060-3;P55060;F8W904;B4DUC5;B4DM67;E7EPX1;P55060-2","CSE1L"
28241000,20237000,35721000,53068000,49532000,42394000,">sp|O94763-2|RMP_HUMAN Isoform 2 of Unconventional prefoldin RPB5 interactor 1 OS=Homo sapiens GN=URI1;>tr|H7BY42|H7BY42_HUMAN Unconventional prefoldin RPB5 interactor 1 OS=Homo sapiens GN=URI1 PE=4 SV=2;>tr|F8W9T0|F8W9T0_HUMAN Unconventional prefoldin RPB","","","O94763-2;H7BY42;F8W9T0;O94763-3;O94763;I3NI51;I3L280","URI1"
699460000,731680000,740550000,990240000,1047500000,1267300000,">sp|Q13838|DX39B_HUMAN Spliceosome RNA helicase DDX39B OS=Homo sapiens GN=DDX39B PE=1 SV=1;>sp|Q13838-2|DX39B_HUMAN Isoform 2 of Spliceosome RNA helicase DDX39B OS=Homo sapiens GN=DDX39B;>tr|F8VQ10|F8VQ10_HUMAN Spliceosome RNA helicase DDX39B OS=Homo sapie","","","Q13838;Q13838-2;F8VQ10;Q5STU3;H0Y7G4;B4DP52;F6WLT2;F8VZL8;H0Y7X6;F6UN21;F6TRA5;H0Y800;F6S4E6;F6UJC5;E9PP12;H0Y557;H0Y4V8;H0Y6G9;B4DIJ6;H0Y6N8;F8W0J0;H0Y400;F6R6M7;H0YCC6;F6V772;F6QYI9;F6QWI5;F6U6E2;F6S2B7;E7EMX2;F6SXL5;H0Y6J9;H0Y6Y9","DDX39B;BAT1"
0,0,0,0,0,192410,">sp|Q96E22|NGBR_HUMAN Nogo-B receptor OS=Homo sapiens GN=NUS1 PE=2 SV=1","","","Q96E22","NUS1"
30513000,29039000,24559000,32750000,40688000,30654000,">sp|Q9UL03-3|INT6_HUMAN Isoform 3 of Integrator complex subunit 6 OS=Homo sapiens GN=INTS6;>sp|Q9UL03|INT6_HUMAN Integrator complex subunit 6 OS=Homo sapiens GN=INTS6 PE=1 SV=1;>tr|B3KQH5|B3KQH5_HUMAN Integrator complex subunit 6 OS=Homo sapiens GN=INTS6 P","","","Q9UL03-3;Q9UL03;B3KQH5;G5E9X1;B4DL13;C9J0C6;Q5JSJ4;Q9UL03-2;C9J885;C9K0V7;C9JVX2;F8WAV7;B4E1J5;F8WBG1;C9JXP6;C9JAV7;Q5JSJ4-4","INTS6"
0,0,0,3199600,1467600,0,">tr|F8VV01|F8VV01_HUMAN RNA-binding motif, single-stranded-interacting protein 2 OS=Homo sapiens GN=RBMS2 PE=4 SV=1;>sp|Q15434|RBMS2_HUMAN RNA-binding motif, single-stranded-interacting protein 2 OS=Homo sapiens GN=RBMS2 PE=1 SV=1;>tr|F5H5C8|F5H5C8_HUMAN R","","","F8VV01;Q15434;F5H5C8","RBMS2"
2314900,1106000,0,5414500,16842000,36803000,">tr|Q9BZU3|Q9BZU3_HUMAN CDC28 protein kinase regulatory subunit 1B OS=Homo sapiens GN=CKS1B PE=4 SV=1;>tr|Q5T179|Q5T179_HUMAN CDC28 protein kinase regulatory subunit 1B OS=Homo sapiens GN=CKS1B PE=4 SV=1;>sp|P61024|CKS1_HUMAN Cyclin-dependent kinases regul","","","Q9BZU3;Q5T179;P61024","CKS1B"
0,0,0,4821700,5304900,4783000,">tr|G3V158|G3V158_HUMAN 2-deoxyribose-5-phosphate aldolase homolog (C. elegans), isoform CRA_a OS=Homo sapiens GN=DERA PE=4 SV=1;>sp|Q9Y315|DEOC_HUMAN Putative deoxyribose-phosphate aldolase OS=Homo sapiens GN=DERA PE=1 SV=2;>tr|E9PMH9|E9PMH9_HUMAN Putativ","","","G3V158;Q9Y315;E9PMH9;E9PML7;E9PPM8;E9PPK3","DERA"
317210,0,0,0,0,0,">sp|P0A9E0|ARAC_ECOLI Arabinose operon regulatory protein OS=Escherichia coli (strain K12) GN=araC PE=1 SV=1","","","P0A9E0","araC"
14026000,12041000,13065000,16597000,14218000,11544000,">sp|Q4KMP7|TB10B_HUMAN TBC1 domain family member 10B OS=Homo sapiens GN=TBC1D10B PE=1 SV=3;>sp|Q4KMP7-2|TB10B_HUMAN Isoform 2 of TBC1 domain family member 10B OS=Homo sapiens GN=TBC1D10B","","","Q4KMP7;Q4KMP7-2;H3BSE1","TBC1D10B"
0,0,0,0,0,1051800,">sp|Q8IW52|SLIK4_HUMAN SLIT and NTRK-like protein 4 OS=Homo sapiens GN=SLITRK4 PE=2 SV=1","","","Q8IW52","SLITRK4"
1968900000,1977400000,2087500000,3158700000,3287500000,3355600000,">tr|B7Z9L0|B7Z9L0_HUMAN T-complex protein 1 subunit delta OS=Homo sapiens GN=CCT4 PE=2 SV=1;>sp|P50991|TCPD_HUMAN T-complex protein 1 subunit delta OS=Homo sapiens GN=CCT4 PE=1 SV=4;>tr|F5H5W3|F5H5W3_HUMAN T-complex protein 1 subunit delta OS=Homo sapiens","","","B7Z9L0;P50991;F5H5W3;B7Z2F4","CCT4"
0,0,0,0,0,7895500,">tr|E9PRZ9|E9PRZ9_HUMAN Protein C11orf58 (Fragment) OS=Homo sapiens GN=C11orf58 PE=4 SV=1;>tr|E3W975|E3W975_HUMAN Protein C11orf58 OS=Homo sapiens GN=C11orf58 PE=4 SV=1;>tr|E9PM92|E9PM92_HUMAN Protein C11orf58 (Fragment) OS=Homo sapiens GN=C11orf58 PE=4 SV","","","E9PRZ9;E3W975;E9PM92;O00193","C11orf58;SMAP"
0,2250400,0,0,0,0,">sp|P56258|WECF_ECOLI 4-alpha-L-fucosyltransferase OS=Escherichia coli (strain K12) GN=wecF PE=1 SV=2","","","P56258","wecF"
0,0,0,0,0,5593100,">sp|Q8WWB7-2|NCUG1_HUMAN Isoform 2 of Lysosomal protein NCU-G1 OS=Homo sapiens GN=C1orf85;>sp|Q8WWB7|NCUG1_HUMAN Lysosomal protein NCU-G1 OS=Homo sapiens GN=C1orf85 PE=1 SV=1","","","Q8WWB7-2;Q8WWB7","C1orf85"
7146400,7138000,8319500,6845800,4992200,6659200,">sp|Q8IYB7|DI3L2_HUMAN DIS3-like exonuclease 2 OS=Homo sapiens GN=DIS3L2 PE=1 SV=4;>sp|Q8IYB7-3|DI3L2_HUMAN Isoform 3 of DIS3-like exonuclease 2 OS=Homo sapiens GN=DIS3L2;>sp|Q8IYB7-2|DI3L2_HUMAN Isoform 2 of DIS3-like exonuclease 2 OS=Homo sapiens GN=DIS3","","","Q8IYB7;Q8IYB7-3;Q8IYB7-2;F5H051;F5H291;Q8IYB7-4;Q8IYB7-5;C9JGP4;H7C440","DIS3L2"
0,0,0,0,0,285910,">tr|E9PBK4|E9PBK4_HUMAN UPF0614 protein C14orf102 OS=Homo sapiens GN=C14orf102 PE=4 SV=1;>sp|Q9H7Z3|CN102_HUMAN UPF0614 protein C14orf102 OS=Homo sapiens GN=C14orf102 PE=1 SV=3","","","E9PBK4;Q9H7Z3","C14orf102"
